count,c1,c2,journal,category
9,CHN,GBR,Spectroscopy,Chemistry
11,CHN,USA,Spectroscopy,Chemistry
12,HRV,ITA,Spectroscopy,Chemistry
4,HRV,SVN,Spectroscopy,Chemistry
40,CZE,FRA,Spectroscopy,Chemistry
7,CZE,LTU,Spectroscopy,Chemistry
12,CZE,ESP,Spectroscopy,Chemistry
11,CZE,USA,Spectroscopy,Chemistry
20,DNK,DEU,Spectroscopy,Chemistry
4,DNK,IRQ,Spectroscopy,Chemistry
4,DNK,QAT,Spectroscopy,Chemistry
11,DNK,SWE,Spectroscopy,Chemistry
23,DNK,GBR,Spectroscopy,Chemistry
35,DNK,USA,Spectroscopy,Chemistry
61,FIN,FRA,Spectroscopy,Chemistry
8,FIN,ITA,Spectroscopy,Chemistry
8,FIN,GBR,Spectroscopy,Chemistry
52,FRA,DEU,Spectroscopy,Chemistry
4,FRA,HUN,Spectroscopy,Chemistry
43,FRA,ITA,Spectroscopy,Chemistry
4,FRA,MEX,Spectroscopy,Chemistry
5,FRA,NLD,Spectroscopy,Chemistry
15,FRA,NOR,Spectroscopy,Chemistry
19,FRA,PRT,Spectroscopy,Chemistry
9,FRA,SVK,Spectroscopy,Chemistry
26,FRA,CHE,Spectroscopy,Chemistry
77,FRA,GBR,Spectroscopy,Chemistry
8,FRA,VNM,Spectroscopy,Chemistry
15,DEU,ITA,Spectroscopy,Chemistry
10,DEU,JPN,Spectroscopy,Chemistry
13,DEU,POL,Spectroscopy,Chemistry
44,DEU,ROU,Spectroscopy,Chemistry
16,DEU,RUS,Spectroscopy,Chemistry
31,DEU,ESP,Spectroscopy,Chemistry
4,DEU,CHE,Spectroscopy,Chemistry
8,DEU,THA,Spectroscopy,Chemistry
24,DEU,GBR,Spectroscopy,Chemistry
18,DEU,USA,Spectroscopy,Chemistry
22,GRC,IRN,Spectroscopy,Chemistry
11,GRC,USA,Spectroscopy,Chemistry
8,HKG,SGP,Spectroscopy,Chemistry
8,HKG,USA,Spectroscopy,Chemistry
11,HUN,SVK,Spectroscopy,Chemistry
10,ISL,ITA,Spectroscopy,Chemistry
5,ISL,NOR,Spectroscopy,Chemistry
8,IND,NLD,Spectroscopy,Chemistry
4,IND,PAK,Spectroscopy,Chemistry
5,IND,PER,Spectroscopy,Chemistry
14,IND,SAU,Spectroscopy,Chemistry
18,IDN,MYS,Spectroscopy,Chemistry
10,IDN,SAU,Spectroscopy,Chemistry
11,IRN,USA,Spectroscopy,Chemistry
20,IRL,GBR,Spectroscopy,Chemistry
17,IRL,USA,Spectroscopy,Chemistry
42,ITA,NLD,Spectroscopy,Chemistry
11,ITA,NOR,Spectroscopy,Chemistry
12,ITA,ROU,Spectroscopy,Chemistry
45,ITA,RUS,Spectroscopy,Chemistry
12,ITA,SVN,Spectroscopy,Chemistry
9,ITA,KOR,Spectroscopy,Chemistry
16,ITA,ESP,Spectroscopy,Chemistry
4,ITA,CHE,Spectroscopy,Chemistry
49,ITA,USA,Spectroscopy,Chemistry
4,JPN,NGA,Spectroscopy,Chemistry
17,JPN,POL,Spectroscopy,Chemistry
18,JPN,TWN,Spectroscopy,Chemistry
12,JPN,TUR,Spectroscopy,Chemistry
20,JPN,GBR,Spectroscopy,Chemistry
38,JPN,USA,Spectroscopy,Chemistry
14,LTU,USA,Spectroscopy,Chemistry
5,MYS,PRT,Spectroscopy,Chemistry
22,MYS,SAU,Spectroscopy,Chemistry
7,NLD,PER,Spectroscopy,Chemistry
7,NLD,POL,Spectroscopy,Chemistry
4,NLD,USA,Spectroscopy,Chemistry
7,NLD,VNM,Spectroscopy,Chemistry
36,NOR,GBR,Spectroscopy,Chemistry
55,PAK,SAU,Spectroscopy,Chemistry
11,POL,UKR,Spectroscopy,Chemistry
13,POL,USA,Spectroscopy,Chemistry
8,PRT,ROU,Spectroscopy,Chemistry
18,PRT,ESP,Spectroscopy,Chemistry
11,PRT,GBR,Spectroscopy,Chemistry
5,ROU,ESP,Spectroscopy,Chemistry
8,ROU,USA,Spectroscopy,Chemistry
152,RUS,GBR,Spectroscopy,Chemistry
28,RUS,USA,Spectroscopy,Chemistry
10,SGP,USA,Spectroscopy,Chemistry
4,ZAF,ESP,Spectroscopy,Chemistry
19,KOR,USA,Spectroscopy,Chemistry
23,ESP,USA,Spectroscopy,Chemistry
10,TUR,GBR,Spectroscopy,Chemistry
44,GBR,USA,Spectroscopy,Chemistry
1,ARM,USA,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
2,AUT,BEL,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,AUT,NLD,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
2,BEL,NLD,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,BEL,CHE,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,CAN,DEU,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,CHL,ETH,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,CHL,JOR,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,CHL,CHE,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,CHL,THA,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,ETH,JOR,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,ETH,CHE,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,ETH,THA,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,FIN,DEU,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,FIN,HUN,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
4,FIN,NLD,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
5,FIN,NOR,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
2,FIN,SWE,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,HUN,SWE,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,ISR,ITA,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,ISR,GBR,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,ITA,ESP,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,ITA,CHE,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,ITA,GBR,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,JOR,CHE,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,JOR,THA,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,LUX,THA,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
4,NLD,NOR,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,NLD,GBR,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,NOR,SWE,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,NOR,CHE,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,POL,GBR,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,ESP,GBR,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,CHE,THA,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,CHE,USA,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,TUR,USA,Statistical Journal of the United Nations Economic Commission for Europe,Chemistry
1,DZA,FRA,AI Communications,Computer & Communication Sciences
1,DZA,LUX,AI Communications,Computer & Communication Sciences
3,ARG,DEU,AI Communications,Computer & Communication Sciences
4,AUS,AUT,AI Communications,Computer & Communication Sciences
1,AUS,CHN,AI Communications,Computer & Communication Sciences
5,AUS,FRA,AI Communications,Computer & Communication Sciences
3,AUS,DEU,AI Communications,Computer & Communication Sciences
2,AUS,ITA,AI Communications,Computer & Communication Sciences
1,AUS,NLD,AI Communications,Computer & Communication Sciences
2,AUS,NZL,AI Communications,Computer & Communication Sciences
1,AUS,USA,AI Communications,Computer & Communication Sciences
1,AUS,VNM,AI Communications,Computer & Communication Sciences
1,AUT,BRA,AI Communications,Computer & Communication Sciences
1,AUT,CZE,AI Communications,Computer & Communication Sciences
1,AUT,FRA,AI Communications,Computer & Communication Sciences
2,AUT,DEU,AI Communications,Computer & Communication Sciences
3,AUT,ITA,AI Communications,Computer & Communication Sciences
1,AUT,ROU,AI Communications,Computer & Communication Sciences
2,AUT,ESP,AI Communications,Computer & Communication Sciences
2,AUT,USA,AI Communications,Computer & Communication Sciences
3,BEL,ECU,AI Communications,Computer & Communication Sciences
4,BEL,ETH,AI Communications,Computer & Communication Sciences
5,BEL,NLD,AI Communications,Computer & Communication Sciences
6,BEL,PRT,AI Communications,Computer & Communication Sciences
1,BEL,SVN,AI Communications,Computer & Communication Sciences
3,BEL,GBR,AI Communications,Computer & Communication Sciences
2,BEL,USA,AI Communications,Computer & Communication Sciences
3,BEL,VNM,AI Communications,Computer & Communication Sciences
1,BRA,FRA,AI Communications,Computer & Communication Sciences
3,BRA,DEU,AI Communications,Computer & Communication Sciences
1,BRA,ITA,AI Communications,Computer & Communication Sciences
3,BRA,NLD,AI Communications,Computer & Communication Sciences
7,BRA,ESP,AI Communications,Computer & Communication Sciences
1,BRA,SWE,AI Communications,Computer & Communication Sciences
8,BRA,GBR,AI Communications,Computer & Communication Sciences
1,BRA,VEN,AI Communications,Computer & Communication Sciences
5,CAN,DEU,AI Communications,Computer & Communication Sciences
3,CAN,ISR,AI Communications,Computer & Communication Sciences
4,CAN,ITA,AI Communications,Computer & Communication Sciences
9,CAN,NLD,AI Communications,Computer & Communication Sciences
2,CAN,GBR,AI Communications,Computer & Communication Sciences
9,CAN,USA,AI Communications,Computer & Communication Sciences
2,CHL,NOR,AI Communications,Computer & Communication Sciences
1,CHL,ESP,AI Communications,Computer & Communication Sciences
2,CHN,DEU,AI Communications,Computer & Communication Sciences
1,CHN,ITA,AI Communications,Computer & Communication Sciences
1,CHN,NLD,AI Communications,Computer & Communication Sciences
5,CHN,SGP,AI Communications,Computer & Communication Sciences
1,CHN,USA,AI Communications,Computer & Communication Sciences
6,COL,ESP,AI Communications,Computer & Communication Sciences
3,CYP,SVN,AI Communications,Computer & Communication Sciences
1,CZE,FRA,AI Communications,Computer & Communication Sciences
2,CZE,DEU,AI Communications,Computer & Communication Sciences
3,CZE,SVN,AI Communications,Computer & Communication Sciences
1,CZE,USA,AI Communications,Computer & Communication Sciences
1,DNK,USA,AI Communications,Computer & Communication Sciences
1,ECU,ETH,AI Communications,Computer & Communication Sciences
2,ECU,PRT,AI Communications,Computer & Communication Sciences
1,ECU,VNM,AI Communications,Computer & Communication Sciences
2,EGY,DEU,AI Communications,Computer & Communication Sciences
2,ETH,VNM,AI Communications,Computer & Communication Sciences
5,FRA,DEU,AI Communications,Computer & Communication Sciences
